Unlabel_01,Intensity,Unlabel_02,Intensity,Unlabel_03,Intensity,Glc_Label_01,Intensity,Glc_Label_02,Intensity,Glc_Label_03,Intensity
70.0007,2.1404,70.0021,3.3029,70.0044,3.2125,70.0007,2.9273,70.0007,12.9778,70.0006,4.014
70.0027,2.7856,70.0089,3.1448,70.0104,2.9673,70.0051,2.9398,70.0092,15.5444,70.0048,3.9336
70.0056,2.6335,70.0106,5.5345,70.0184,3.0354,70.0092,3.5063,70.0236,12.6556,70.0187,3.7797
70.008,2.5595,70.014,2.8797,70.0205,6.6812,70.0192,3.1278,70.0578,12.9889,70.023,8.5874
70.0129,8.7661,70.0181,6.5768,70.0216,3.673,70.0212,3.381,70.0779,14.4778,70.0301,3.6364
70.0153,10.0351,70.0233,2.8797,70.034,3.0463,70.0236,2.8546,70.1118,13.1333,70.0365,3.6993
70.0194,3.0448,70.0252,2.8797,70.0357,3.079,70.0269,6.0426,70.1463,14.6,70.043,3.5664
70.0247,7.8558,70.0272,2.5546,70.0375,3.1199,70.0312,3.7744,70.1544,12.0111,70.0467,8.2902
70.0263,3.0019,70.0331,3.0445,70.0413,2.7602,70.0352,2.8922,70.1832,13.5,70.0503,3.4336
70.0278,2.078,70.0362,6.1514,70.0493,3.0354,70.0387,3.4561,70.1879,13.7222,70.0568,4.0944
70.0328,5.6296,70.0376,3.5345,70.0525,3.6676,70.0425,2.9373,70.1997,13.7111,70.0645,3.7238
70.0421,2.7057,70.0446,3.1559,70.0575,3.1989,70.044,2.792,70.2146,13.7222,70.066,7.486
70.0448,2.4873,70.0488,5.363,70.0586,8.0518,70.0452,3.01,70.2352,13.5,70.0693,3.3287
70.0472,8.4444,70.0514,5.9755,70.0633,6.7193,70.0496,2.9875,70.2774,13.0222,70.0737,5.2727
70.0491,2.6511,70.0565,3.5568,70.0709,3.109,70.0556,3.0251,70.2859,14.6889,70.0775,4.4545
70.0509,2.4347,70.0579,2.8062,70.0759,3.2643,70.0578,2.9298,70.317,14.0889,70.0824,4.535
70.0546,2.5517,70.0667,3.0223,70.077,3.436,70.0628,2.6291,70.3219,13.6,70.1175,18.2587
70.0582,2.5712,70.073,5.588,70.0813,3.2452,70.0674,3.2155,70.324,14.3222,70.1212,3.9755
70.0595,2.4581,70.0812,2.6837,70.095,3.3896,70.078,6.6441,70.3459,13.2222,70.1285,3.8077
70.0661,2.9201,70.083,6.1648,70.0983,3.2698,70.0878,3.3609,70.3478,15.5889,70.1373,3.8951
70.0775,2.7076,70.084,3.069,70.1005,3.0218,70.0911,2.782,70.3527,12.9111,70.1413,3.8986
70.0807,5.1404,70.0861,6.02,70.105,3.3324,70.0922,6.4085,70.3629,17.6222,70.1463,4.1049
70.0912,2.9084,70.0912,2.7283,70.1086,8.8065,70.0946,3.1504,70.3821,12.9556,70.1526,3.8112
70.0967,2.4932,70.0932,8.5991,70.1137,4.3624,70.103,5.6516,70.398,14.8,70.154,4.9231
70.0981,5.6277,70.1001,6.0111,70.1162,3.3515,70.1065,3.1529,70.4035,16.4444,70.1597,3.6608
70.1007,5.4425,70.102,3.3096,70.1232,2.9973,70.1118,2.9624,70.4416,13.4111,70.1629,3.979
70.1041,2.7057,70.1041,8.9042,70.1277,3.3842,70.1156,6.0201,70.4662,13.1222,70.1678,4.1434
70.1072,5.3879,70.1084,2.7706,70.1316,3.1689,70.1277,3.8321,70.4756,13.8111,70.169,5.035
70.1111,2.6062,70.11,5.9577,70.1356,2.9537,70.1346,6.015,70.5093,15.3222,70.1773,10.8427
70.1129,2.7115,70.1111,6.3875,70.137,6.6975,70.1397,5.9023,70.5214,13.1222,70.1827,3.8147
