m/z,Formula,ID,IsotopeLabel,Ion form,Compound
57.0334926,C3H4O,1001,C13-label-0,[M+H]+,Acrolein
58.03684744,C3H4O,1001,C13-label-1,[M+H]+,Acrolein
59.04020227,C3H4O,1001,C13-label-2,[M+H]+,Acrolein
60.04355711,C3H4O,1001,C13-label-3,[M+H]+,Acrolein
90.0549576,C3H7NO2,1002,C13-label-0,[M+H]+,Alanine
91.05831244,C3H7NO2,1002,C13-label-1,[M+H]+,Alanine
92.06166727,C3H7NO2,1002,C13-label-2,[M+H]+,Alanine
93.06502211,C3H7NO2,1002,C13-label-3,[M+H]+,Alanine
73.0284086,C3H4O2,1003,C13-label-0,[M+H]+,Pyruvaldehyde
74.03176344,C3H4O2,1003,C13-label-1,[M+H]+,Pyruvaldehyde
75.03511827,C3H4O2,1003,C13-label-2,[M+H]+,Pyruvaldehyde
76.03847311,C3H4O2,1003,C13-label-3,[M+H]+,Pyruvaldehyde
106.0498736,C3H7NO3,1004,C13-label-0,[M+H]+,Serine
107.0532284,C3H7NO3,1004,C13-label-1,[M+H]+,Serine
108.0565833,C3H7NO3,1004,C13-label-2,[M+H]+,Serine
109.0599381,C3H7NO3,1004,C13-label-3,[M+H]+,Serine
184.9845751,C3H5O7P,1005,C13-label-0,[M+H]+,Phosphohydroxypyruvic acid
185.9879299,C3H5O7P,1005,C13-label-1,[M+H]+,Phosphohydroxypyruvic acid
186.9912848,C3H5O7P,1005,C13-label-2,[M+H]+,Phosphohydroxypyruvic acid
187.9946396,C3H5O7P,1005,C13-label-3,[M+H]+,Phosphohydroxypyruvic acid
186.0162081,C3H8NO6P,1006,C13-label-0,[M+H]+,Phosphoserine
187.0195629,C3H8NO6P,1006,C13-label-1,[M+H]+,Phosphoserine
188.0229178,C3H8NO6P,1006,C13-label-2,[M+H]+,Phosphoserine
189.0262726,C3H8NO6P,1006,C13-label-3,[M+H]+,Phosphoserine
70.0651256,C4H7N,1007,C13-label-0,[M+H]+,Pyrroline_isomer
71.06848044,C4H7N,1007,C13-label-1,[M+H]+,Pyrroline_isomer
72.07183527,C4H7N,1007,C13-label-2,[M+H]+,Pyrroline_isomer
73.07519011,C4H7N,1007,C13-label-3,[M+H]+,Pyrroline_isomer
74.07854494,C4H7N,1007,C13-label-4,[M+H]+,Pyrroline_isomer
87.0440586,C4H6O2,1008,C13-label-0,[M+H]+,Diacetyl
88.04741344,C4H6O2,1008,C13-label-1,[M+H]+,Diacetyl
89.05076827,C4H6O2,1008,C13-label-2,[M+H]+,Diacetyl
90.05412311,C4H6O2,1008,C13-label-3,[M+H]+,Diacetyl
91.05747794,C4H6O2,1008,C13-label-4,[M+H]+,Diacetyl
102.0549576,C4H7NO2,1009,C13-label-0,[M+H]+,Methyl-alanine_isomer
103.0583124,C4H7NO2,1009,C13-label-1,[M+H]+,Methyl-alanine_isomer
104.0616673,C4H7NO2,1009,C13-label-2,[M+H]+,Methyl-alanine_isomer
105.0650221,C4H7NO2,1009,C13-label-3,[M+H]+,Methyl-alanine_isomer
106.0683769,C4H7NO2,1009,C13-label-4,[M+H]+,Methyl-alanine_isomer
104.0706076,C4H9NO2,1010,C13-label-0,[M+H]+,Aminobutanoate
105.0739624,C4H9NO2,1010,C13-label-1,[M+H]+,Aminobutanoate
106.0773173,C4H9NO2,1010,C13-label-2,[M+H]+,Aminobutanoate
107.0806721,C4H9NO2,1010,C13-label-3,[M+H]+,Aminobutanoate
108.0840269,C4H9NO2,1010,C13-label-4,[M+H]+,Aminobutanoate
114.0661896,C4H7N3O,1011,C13-label-0,[M+H]+,Creatinine
115.0695444,C4H7N3O,1011,C13-label-1,[M+H]+,Creatinine
116.0728993,C4H7N3O,1011,C13-label-2,[M+H]+,Creatinine
117.0762541,C4H7N3O,1011,C13-label-3,[M+H]+,Creatinine
118.0796089,C4H7N3O,1011,C13-label-4,[M+H]+,Creatinine
115.0502066,C4H6N2O2,1012,C13-label-0,[M+H]+,Cyano-alanine_isomer
