m/z,Formula,ID,IsotopeLabel,Ion form,Compound
87.0087714,C3H4O3,1,C12 PARENT,[M-H]-,Pyruvate
88.01212624,C3H4O3,1,C13-label-1,[M-H]-,Pyruvate
89.01548107,C3H4O3,1,C13-label-2,[M-H]-,Pyruvate
90.01883591,C3H4O3,1,C13-label-3,[M-H]-,Pyruvate
88.0404044,C3H7NO2,2,C12 PARENT,[M-H]-,Alanine
89.04375924,C3H7NO2,2,C13-label-1,[M-H]-,Alanine
90.04711407,C3H7NO2,2,C13-label-2,[M-H]-,Alanine
91.05046891,C3H7NO2,2,C13-label-3,[M-H]-,Alanine
89.0244214,C3H6O3,3,C12 PARENT,[M-H]-,Lactic acid
90.02777624,C3H6O3,3,C13-label-1,[M-H]-,Lactic acid
91.03113107,C3H6O3,3,C13-label-2,[M-H]-,Lactic acid
92.03448591,C3H6O3,3,C13-label-3,[M-H]-,Lactic acid
116.0353204,C4H7NO3,4,C12 PARENT,[M-H]-,Acetylglycine_isomer
117.0386752,C4H7NO3,4,C13-label-1,[M-H]-,Acetylglycine_isomer
118.0420301,C4H7NO3,4,C13-label-2,[M-H]-,Acetylglycine_isomer
119.0453849,C4H7NO3,4,C13-label-3,[M-H]-,Acetylglycine_isomer
120.0487397,C4H7NO3,4,C13-label-4,[M-H]-,Acetylglycine_isomer
101.0244214,C4H6O3,5,C12 PARENT,[M-H]-,Acetoacetate_isomer
102.0277762,C4H6O3,5,C13-label-1,[M-H]-,Acetoacetate_isomer
103.0311311,C4H6O3,5,C13-label-2,[M-H]-,Acetoacetate_isomer
104.0344859,C4H6O3,5,C13-label-3,[M-H]-,Acetoacetate_isomer
105.0378407,C4H6O3,5,C13-label-4,[M-H]-,Acetoacetate_isomer
102.0560544,C4H9NO2,6,C12 PARENT,[M-H]-,Aminobutanoate_isomer
103.0594092,C4H9NO2,6,C13-label-1,[M-H]-,Aminobutanoate_isomer
104.0627641,C4H9NO2,6,C13-label-2,[M-H]-,Aminobutanoate_isomer
105.0661189,C4H9NO2,6,C13-label-3,[M-H]-,Aminobutanoate_isomer
106.0694737,C4H9NO2,6,C13-label-4,[M-H]-,Aminobutanoate_isomer
103.0400714,C4H8O3,7,C12 PARENT,[M-H]-,Hydroxybutanoic acid
104.0434262,C4H8O3,7,C13-label-1,[M-H]-,Hydroxybutanoic acid
105.0467811,C4H8O3,7,C13-label-2,[M-H]-,Hydroxybutanoic acid
106.0501359,C4H8O3,7,C13-label-3,[M-H]-,Hydroxybutanoic acid
107.0534907,C4H8O3,7,C13-label-4,[M-H]-,Hydroxybutanoic acid
104.0353204,C3H7NO3,8,C12 PARENT,[M-H]-,Serine
105.0386752,C3H7NO3,8,C13-label-1,[M-H]-,Serine
106.0420301,C3H7NO3,8,C13-label-2,[M-H]-,Serine
107.0453849,C3H7NO3,8,C13-label-3,[M-H]-,Serine
111.0200034,C4H4N2O2,9,C12 PARENT,[M-H]-,Uracil
112.0233582,C4H4N2O2,9,C13-label-1,[M-H]-,Uracil
113.0267131,C4H4N2O2,9,C13-label-2,[M-H]-,Uracil
114.0300679,C4H4N2O2,9,C13-label-3,[M-H]-,Uracil
115.0334227,C4H4N2O2,9,C13-label-4,[M-H]-,Uracil
114.0560544,C5H9NO2,10,C12 PARENT,[M-H]-,Proline
115.0594092,C5H9NO2,10,C13-label-1,[M-H]-,Proline
116.0627641,C5H9NO2,10,C13-label-2,[M-H]-,Proline
117.0661189,C5H9NO2,10,C13-label-3,[M-H]-,Proline
118.0694737,C5H9NO2,10,C13-label-4,[M-H]-,Proline
119.0728286,C5H9NO2,10,C13-label-5,[M-H]-,Proline
115.0036874,C4H4O4,11,C12 PARENT,[M-H]-,Maleic acid_isomer
116.0070422,C4H4O4,11,C13-label-1,[M-H]-,Maleic acid_isomer
